,index,State ID,Total_Cases,Total_Death,Year,Disease ID,No. of Doctors
1021,1967,141,91880,4,2003,7,4246.23153771832
1022,1968,141,77320,5,2012,7,4248.142533009821
1023,1969,141,2918767,535,2009,7,4250.05438833521
1024,1970,141,49781,4,2009,7,4251.96710408154
1025,1974,141,58307,0,2013,7,5088.0
1026,1975,141,61716,0,2014,7,4253.88068063603
1027,1976,141,2465743,434,2006,7,4255.7951183860905
1028,1980,141,47600,5,2004,7,4257.7104177193
1029,1982,111,9457,53,2009,8,2748.0
1030,1993,112,1520,4,2012,8,3615.0
1031,1996,112,267,1,2015,8,3988.0
1032,1997,113,2175,0,2008,8,4259.6265790234
1033,1998,113,7770,0,2009,8,4261.54360268633
1034,1999,113,312,0,2010,8,4263.46148909618
1035,2000,113,2557,25,2011,8,4265.38023864122
1036,2004,113,917,7,2015,8,2959.0
1037,2005,114,0,0,2008,8,4267.29985170992
1038,2006,114,0,0,2009,8,4269.22032869089
1039,2010,114,6736,2,2013,8,4271.14166997293
1040,2012,114,25808,2,2015,8,4035.0
1041,2023,116,287,4,2010,8,3721.0
1042,2026,116,670,5,2013,8,3882.0
1043,2027,116,548,4,2014,8,4273.06387594501
1044,2028,116,532,6,2015,8,4274.98694699629
1045,2029,117,6342,62,2008,8,4276.9108835160905
1046,2030,117,7657,40,2009,8,4278.83568589391
1047,2034,117,8290,131,2013,8,2992.0
1048,2035,117,6965,98,2014,8,4280.76135451943
1049,2036,117,8362,76,2015,8,4282.68788978249
1050,2040,118,118,0,2011,8,4284.61529207312
1051,2042,118,173,0,2013,8,66109.0
1052,2044,118,156,0,2015,8,19147.0
1053,2045,119,2940,3,2008,8,37368.0
1054,2046,119,3068,99,2009,8,3224.0
1055,2047,119,3190,0,2010,8,2828.0
1056,2048,119,4328,0,2011,8,47231.0
1057,2049,119,4763,6,2012,8,5356.0
1058,2051,119,4808,7,2014,8,11360.0
1059,2052,119,3736,0,2015,8,3245.0
1060,2053,120,2395,5,2008,8,87734.0
1061,2054,120,2011,4,2009,8,40007.0
1062,2055,120,1583,4,2010,8,26669.0
1063,2056,120,2557,2,2011,8,138303.0
1064,2057,120,2686,1,2012,8,4286.54356178152
1065,2058,120,1307,1,2013,8,4288.4726992980795
1066,2059,120,1934,13,2014,8,4290.402705013329
1067,2060,120,5020,3,2015,8,4292.33357931802
1068,2061,121,1783,7,2008,8,39291.0
1069,2062,121,2979,5,2009,8,28797.0
1070,2064,121,1248,10,2011,8,86822.0
1071,2065,121,1310,17,2012,8,4294.26532260304
1072,2066,121,2023,14,2013,8,4296.19793525948
1073,2067,121,2808,9,2014,8,3394.0
1074,2068,121,1739,1,2015,8,58168.0
1075,2069,122,6000,0,2008,8,59264.0
1076,2070,122,6190,0,2009,8,4298.13141767859
1077,2071,122,3990,0,2010,8,6748.0
1078,2072,122,5129,2,2011,8,4370.0
1079,2083,123,1052,1,2014,8,3727.0
1080,2084,123,1230,1,2015,8,4300.0657702518
1081,2086,124,11029,19,2009,8,3157.0
1082,2087,124,8872,16,2010,8,4302.000993370721
1083,2088,124,6049,8,2011,8,4303.93708742714
1084,2089,124,10789,26,2012,8,4305.87405281302
1085,2090,124,5415,16,2013,8,4307.8118899205
1086,2094,125,7810,13,2009,8,3476.0
1087,2095,125,5353,6,2010,8,4309.750599141889
1088,2096,125,5336,7,2011,8,4311.690180869679
1089,2100,125,3894,3,2015,8,4313.63063549653
1090,2102,126,7381,17,2009,8,4498.0
1091,2109,127,7207,34,2008,8,4315.57196341529
1092,2113,127,6175,21,2012,8,4207.0
1093,2114,127,5851,13,2013,8,4317.51416501899
1094,2116,127,8386,9,2015,8,3433.0
1095,2117,128,495,0,2008,8,4319.45724070082
1096,2118,128,1764,0,2009,8,4321.40119085415
1097,2119,128,320,0,2010,8,4323.346015872539
1098,2120,128,229,0,2011,8,4325.29171614971
1099,2124,128,88,0,2015,8,4182.0
1100,2125,129,275,0,2008,8,4327.23829207957
1101,2126,129,205,2,2009,8,4329.1857440562
1102,2130,129,518,0,2013,8,4331.13407247387
1103,2132,129,253,0,2015,8,5737.0
1104,2139,130,194,0,2014,8,4333.08327772701
1105,2143,131,3328,62,2010,8,4772.0
1106,2144,131,3272,89,2011,8,4335.033360210229
1107,2146,131,3743,90,2013,8,3682.0
1108,2147,131,5069,39,2014,8,4336.98432031834
1109,2148,131,4309,21,2015,8,4338.9361584462895
1110,2149,132,6880,10,2008,8,4340.88887498925
1111,2150,132,5750,7,2009,8,4342.84247034253
1112,2154,132,3099,6,2013,8,9218.0
1113,2155,132,4525,4,2014,8,4344.79694490164
1114,2156,132,9330,8,2015,8,4346.75229906226
1115,2160,133,967,0,2011,8,4348.7085332202505
1116,2162,133,2384,10,2013,8,5415.0
1117,2167,134,1180,2,2010,8,4350.665647771661
1118,2168,134,484,0,2011,8,4352.62364311269
1119,2169,134,667,6,2012,8,4354.58251963974
1120,2174,135,3978,1,2009,8,4356.5422777493895
1121,2176,135,5940,0,2011,8,4938.0
1122,2177,135,10628,0,2012,8,4358.50291783839
1123,2178,135,1868,0,2013,8,4360.46444030366
1124,2179,135,880,0,2014,8,4362.426845542321
1125,2180,135,1066,1,2015,8,4364.390133951661
1126,2183,136,0,0,2010,8,4366.35430592913
1127,2184,136,0,0,2011,8,5064.0
1128,2185,136,0,0,2012,8,4368.3193618724
1129,2186,136,0,0,2013,8,4370.28530217927
1130,2190,137,987,3,2009,8,4372.25212724776
1131,2192,137,404,0,2011,8,4374.21983747604
1132,2195,137,177,1,2014,8,4376.1884332624795
1133,2199,138,2203,9,2010,8,4378.15791500563
1134,2203,138,16037,50,2014,8,4380.12828310419
1135,2204,138,11088,62,2015,8,4382.09953795707
1136,2206,139,20132,17,2009,8,4384.07167996335
1137,2207,139,6645,12,2010,8,4386.04470952229
1138,2208,139,3143,19,2011,8,4388.01862703333
1139,2209,139,6499,16,2012,8,4389.99343289608
1140,2210,139,8619,11,2013,8,4391.96912751034
1141,2214,141,4525,121,2009,8,5088.0
1142,2215,141,4779,68,2010,8,4393.9457112761
1143,2216,141,5480,105,2011,8,4395.92318459351
1144,2220,141,3865,81,2015,8,4397.9015478629
